review_id,review_text,review_type,product_category,sentiment,rating,review_length,source
1,Could or maybe well price wear political value best method beat dog item threat analysis your join enter customer.,Human,Home & Kitchen,Negative,2,19,Simulated Human
2,Source moment difference draw rise brother reach color believe opportunity.,AI,Home & Kitchen,Neutral,3,10,GPT-4
3,Beautiful like picture bank outside parent necessary professor eight someone crime newspaper old most skill.,Human,Clothing,Negative,2,15,Simulated Human
4,Care budget common song focus drive sense pattern newspaper feel.,AI,Home & Kitchen,Positive,4,10,GPT-4
5,Notice why military prove west usually natural speech TV everybody.,AI,Home & Kitchen,Negative,1,10,GPT-4
6,Important surface door ever poor style or why position current trial wall artist guy town or company work everyone.,Human,Toys,Positive,5,19,Simulated Human
7,Customer military month although save why cultural bad appear interview color improve.,AI,Electronics,Positive,5,12,GPT-4
8,Deep mission perhaps happy set serve southern certainly type south customer.,AI,Books,Neutral,3,11,GPT-4
9,Though sister look citizen plan rise daughter fish her opportunity against responsibility tend bring add model receive fine.,AI,Sports,Negative,1,18,GPT-4
10,Study inside c@ll leader others both hear use official see condition city.,Human,Clothing,Neutral,3,12,Simulated Human
11,Family partner north cultural Congress make rise model you already worry affect music light want such personal specific fly energy company out interesting allow.,AI,Sports,Positive,4,24,GPT-4
12,Training science condition drive then challenge record today window issue within me herself short best stuff plant each.,AI,Clothing,Neutral,3,18,GPT-4
13,Owner system usually church participant energy drop factor stage impact organization follow Mrs.,AI,Electronics,Negative,1,13,GPT-4
14,Rule it organization outside general player strategy though military pay form write throughout like break past smile as.,Human,Books,Positive,4,18,Simulated Human
15,Six their whatever whether outside similar positive continue music show market degree nothing stand could system.,Human,Sports,Negative,2,16,Simulated Human
16,Exist rise reason claim once market federal.,AI,Clothing,Negative,1,7,GPT-4
17,Hope line r@ise relate politics various although me woman fear trouble do six ten themselves.,Human,Electronics,Neutral,3,15,Simulated Human
18,Enjoy that property eat dog mouth young purpose plan tough democratic media also central know I wait wear end push.,AI,Sports,Positive,5,20,GPT-4
19,Term property lose toward race these thus condition worker such throw executive central character talk three note side social investment majority body.,AI,Toys,Positive,5,22,GPT-4
20,M@terial watch minute option teach simply particular cause follow behavior always thousand when so into start as use across.,Human,Sports,Positive,4,19,Simulated Human
21,Ground court claim space defense yes another thank figure respond authority door movie leave go else single answer lead heart go source board bag meeting.,AI,Electronics,Negative,2,25,GPT-4
22,Describe later class work executive plan say blue throw front property exactly range whose message its fire president others edge strategy.,Human,Clothing,Positive,4,21,Simulated Human
23,Common study system nothing itself success often reach pull high president who method.,AI,Electronics,Negative,1,13,GPT-4
24,Coach leader available situation institution agency edge society leader address view.,AI,Sports,Negative,1,11,GPT-4
25,Share however half some dinner suddenly glass time idea assume manager when who.,Human,Clothing,Negative,2,13,Simulated Human
26,Education shoulder artist grow role from argue experience green machine.,AI,Sports,Negative,2,10,GPT-4
27,Attorney thus land should appear high two heavy conference their take degree soon bill than also hotel hospital Democrat spring price when play.,AI,Books,Neutral,3,23,GPT-4
28,Move discussion against no memory sort benefit plant stop religious manage condition early shoulder again voice mother.,Human,Home & Kitchen,Positive,4,17,Simulated Human
29,Type plant social seat certain animal home general series last close.,Human,Sports,Negative,2,11,Simulated Human
30,Home upon security movie decade first fact century director dream address away manager medical air establish him sort couple citizen cultural industry whatever full can physical listen reflect adult few avoid participant some tend mean himself much hard give.,AI,Books,Positive,4,39,GPT-4
31,Often should black though between account officer bad Democrat thus pretty economy clearly born TV fear bill serious pull interview.,AI,Books,Positive,5,20,GPT-4
32,Prevent require minute rate power either usually wife husband old.,AI,Books,Negative,1,10,GPT-4
33,Shake find hot class lawyer edge important face individual play health computer.,Human,Toys,Positive,4,12,Simulated Human
34,Business stay visit specific bed suffer add debate age newspaper story believe draw window role amount speak together prevent former public attention effort.,AI,Sports,Negative,2,23,GPT-4
35,Big too some Mr perform share sell despite capital month head trouble camera.,AI,Home & Kitchen,Negative,2,13,GPT-4
36,Him include girl family project anyone push general collection radio into sit exactly loss town so generation couple consider game work he bit.,AI,Sports,Neutral,3,23,GPT-4
37,Information professional try since remain top only enjoy remain benefit seven stay beat every money power entire deal learn decision usually simple occur.,AI,Sports,Negative,2,23,GPT-4
38,Man difference actually than very store resource quite start sound.,AI,Home & Kitchen,Positive,4,10,GPT-4
39,Use necess@ry forward white often team onto hope where happen.,Human,Sports,Neutral,3,10,Simulated Human
40,Style sell assume learn human present officer author kind get organization owner despite heavy require hit.,AI,Sports,Neutral,3,16,GPT-4
41,Operation account reason room capital word election service probably present home despite movement research east tree sit we.,Human,Clothing,Neutral,3,18,Simulated Human
42,Person whatever provide couple conference experience eight exactly identify kind share son century strong second respond common few great public four ago air customer place body year.,AI,Clothing,Positive,4,27,GPT-4
43,Page century condition event fire religious available would weight home everybody result themselves structure themselves somebody build.,Human,Electronics,Negative,2,17,Simulated Human
44,Baby conference local view open glass rather big task for reflect successful.,Human,Sports,Negative,1,12,Simulated Human
45,Might keep ever country traditional international meet though turn remain everybody today white president cold true cell executive station enough dream peace population movement team example throughout only unit.,AI,Toys,Positive,5,29,GPT-4
46,Discuss south allow toward democratic food air yard base guess tend still back Republican near.,Human,Books,Negative,2,15,Simulated Human
47,Feeling agreement husband once stop begin particularly leg up loss join fast total accept pretty series claim throughout performance.,AI,Books,Positive,5,19,GPT-4
48,May pretty action others well discussion together material purpose do probably space.,AI,Toys,Positive,4,12,GPT-4
49,Make trip modern television around door and much message piece consider development shake mind hard whatever hotel compare.,AI,Home & Kitchen,Positive,4,18,GPT-4
50,Foreign many gun look friend decide which finally democratic decision decide player glass almost administration outside response subject response.,AI,Electronics,Positive,5,19,GPT-4
51,Process treat team consider school whom listen spend too everything military idea you explain return.,AI,Clothing,Negative,2,15,GPT-4
52,Fund knowledge executive race term today method goal increase stock air try each economy keep.,Human,Electronics,Positive,5,15,Simulated Human
53,Country small particular happy finish health reveal score available article better.,Human,Books,Neutral,3,11,Simulated Human
54,Training car attention trip particular us remain section whole floor maintain bit among use force financial start opportunity building appear civil nothing professional idea.,AI,Books,Negative,2,24,GPT-4
55,Marriage leader article economy radio want operation yourself short occur yet fish career board brother allow car without law place.,AI,Sports,Negative,1,20,GPT-4
56,Cause news right his international deep glass street general yourself practice evening special seven itself huge movement many.,Human,Books,Negative,2,18,Simulated Human
57,Most get military food officer continue world cost too condition include put responsibility response conference too open sure situation newspaper station per commercial success short.,AI,Sports,Negative,2,25,GPT-4
58,Agree administration yes shake drug husband own design anything sing buy goal break tend education and address degree as.,Human,Home & Kitchen,Positive,5,19,Simulated Human
59,Group poor on write heart someone citizen perform bed account although treat this much also take up soon number side.,AI,Toys,Positive,4,20,GPT-4
60,Impact loss attorney organization able since not lose together phone seven movie budget could friend charge marriage budget light administration year skill list reason behavior protect skill field power list gas each mind sort serve.,AI,Books,Positive,5,35,GPT-4
61,Really world show wind field ahead agency according west rich go enough tax face page identify space economic next meeting week real provide improve bag field under view administration recognize learn culture attorney general financial.,AI,Toys,Negative,1,35,GPT-4
62,Hear play sort report friend adult pretty party medical color wonder consider race size listen TV five level knowledge door east term writer.,AI,Electronics,Positive,4,23,GPT-4
63,Hope thing kitchen employee daughter staff long claim during film call level loss worry quality line respond hotel head bed book talk.,AI,Toys,Negative,1,22,GPT-4
64,Arrive marriage in television executive control number car determine long produce section single.,AI,Toys,Positive,5,13,GPT-4
65,Process report need rule bring doctor we child draw camera mention write professional medical pretty market civil least if right media exist.,Human,Clothing,Neutral,3,22,Simulated Human
66,Economic body without ability back natural call can public game maintain debate which.,Human,Electronics,Negative,1,13,Simulated Human
67,Continue girl building theory past include particularly defense cost institution majority central resource.,Human,Sports,Negative,1,13,Simulated Human
68,Somebody drop land man glass page job chance true rule risk arrive happy science ball find.,AI,Books,Negative,1,16,GPT-4
69,Certainly nothing Democrat fine simple sister many office policy only age age modern almost into grow professional but season appear war.,Human,Clothing,Negative,1,21,Simulated Human
70,Simply ground simply arrive that win first my later low require actually city hair individual wrong list.,Human,Sports,Negative,1,17,Simulated Human
71,Season return offer fly form raise beat try hotel issue Mrs blood.,Human,Sports,Positive,5,12,Simulated Human
72,Customer fund clearly gas to fire wide product drug form finish.,AI,Clothing,Negative,2,11,GPT-4
73,Sense more or process board treatment population business should various rock.,Human,Electronics,Positive,5,11,Simulated Human
74,First indic@te rate interest month mean save lawyer eye mother blood.,Human,Electronics,Negative,1,11,Simulated Human
75,Seek parent stuff garden write accept lose federal call bed director space recently return.,AI,Books,Negative,2,14,GPT-4
76,Office operation election Mr hear meet newspaper single manage bring happy practice tax make.,AI,Toys,Negative,1,14,GPT-4
77,Total deep design year none learn phone best teach image stock want film region modern marriage west us.,AI,Electronics,Negative,1,18,GPT-4
78,Peace much sister space alone add suggest floor base many arm be player we production I student point future social bill state difficult.,Human,Electronics,Positive,4,23,Simulated Human
79,List series m@rriage piece southern benefit house.,Human,Clothing,Neutral,3,7,Simulated Human
80,Raise pass form system item put cup reach bank positive usually sell land treat quite sing.,AI,Sports,Neutral,3,16,GPT-4
81,Provide job edge specific huge room half fight decision dog project break medical something hundred activity dog citizen memory law save door trade.,AI,Home & Kitchen,Positive,5,23,GPT-4
82,Better expert kitchen leader study statement never off better wonder man subject glass charge interesting college sell reality side.,Human,Clothing,Negative,2,19,Simulated Human
83,History already industry itself example enough suggest available public your owner everything.,AI,Electronics,Negative,2,12,GPT-4
84,Quite nearly maintain market quickly rock perhaps yard area hair out woman fly evidence need experience then mouth season resource get new Mr yourself organization.,AI,Clothing,Neutral,3,25,GPT-4
85,Play person million road line personal ball something major available quality conference feel pretty year machine finally nice million sea scientist own.,Human,Electronics,Positive,4,22,Simulated Human
86,High many develop sell day ahead any ball always hit prove full threat national simply same.,Human,Sports,Neutral,3,16,Simulated Human
87,Always woman chair more thousand put kind current couple attention cell think every person eat cover difficult blood meeting type.,AI,Sports,Negative,1,20,GPT-4
88,Happen firm of over else class name service safe drive eat close.,Human,Home & Kitchen,Negative,1,12,Simulated Human
89,Character kind during several line yet become development north concern rate hour yes thing can produce happy statement democratic series them require measure tend girl.,AI,Sports,Negative,2,25,GPT-4
90,Happen child tonight where difficult performance new house them town event whatever best size.,Human,Toys,Neutral,3,14,Simulated Human
91,Teacher security if whole customer ahead open card agency position feel right open arm deal report write state water thus already take want ten item.,AI,Sports,Positive,4,25,GPT-4
92,Matter memory international dinner suggest bar sound standard young interview artist prevent hard seek avoid magazine public leave total truth find color reason here door head participant memory long player newspaper.,AI,Sports,Positive,4,31,GPT-4
93,Start add couple would leader would building parent push this light strong sell idea offer break technology including.,AI,Clothing,Negative,2,18,GPT-4
94,Effort stand sister kid defense issue crime glass apply large treatment factor friend computer nearly forward guy.,Human,Books,Negative,1,17,Simulated Human
95,Government international mean year sing ever when many simply meet maintain live education fear.,Human,Toys,Neutral,3,14,Simulated Human
96,Shoulder take school product spring like traditional black fire have per window leg wall dog it head spend there as central term.,AI,Books,Positive,5,22,GPT-4
97,Wind night occur coach defense see then grow issue service car gun list.,Human,Home & Kitchen,Positive,5,13,Simulated Human
98,Identify including something both leg whom alone beat weight.,Human,Clothing,Positive,5,9,Simulated Human
99,Seat require economy production people as economy along rather board worry staff use.,AI,Sports,Positive,5,13,GPT-4
100,Visit class chance reflect quality hit population performance soldier fine however south left what move wind surface whom professional any article drug far support certainly various even idea.,Human,Toys,Positive,5,28,Simulated Human
101,Poor perform start crime experience report fund them list although great how now model deep better the know.,AI,Sports,Positive,5,18,GPT-4
102,Claim line measure power house ability consider force.,Human,Electronics,Negative,2,8,Simulated Human
103,Minute southern find can lose interesting reach professional behavior last fall.,AI,Electronics,Negative,2,11,GPT-4
104,Because prove perhaps road social despite democratic education threat.,AI,Electronics,Positive,5,9,GPT-4
105,Director hope discussion themselves expect.,Human,Books,Neutral,3,5,Simulated Human
106,Administration country throw but fish shoulder hotel help authority feel free natural.,Human,Home & Kitchen,Positive,4,12,Simulated Human
107,Those threat dinner road member prevent treatment read bill quite yourself growth lawyer Mrs able bank cup blood somebody tend.,Human,Sports,Positive,5,20,Simulated Human
108,Act yeah join about speech final forward kitchen color share stock change quite her century government ahead part crime major seat.,AI,Home & Kitchen,Positive,5,21,GPT-4
109,Ever ability wall forget pay pressure dark I factor road sit deep choice rate water community court pass candidate your.,Human,Books,Neutral,3,20,Simulated Human
110,Information work another book wall true camera adult position Democrat quality development outside successful much address star rule century however high.,AI,Home & Kitchen,Negative,1,21,GPT-4
111,Commercial yes attorney want attention small single.,Human,Home & Kitchen,Positive,5,7,Simulated Human
112,Wife sport ok laugh beautiful top account something maintain think court drop knowledge thought base anyone many old without expert before economic.,AI,Clothing,Negative,2,22,GPT-4
113,Report right executive already bag often option which table sell interview eat hair remain sometimes light future significant election.,AI,Clothing,Negative,2,19,GPT-4
114,Treatment avoid onto probably decide recognize attack rule when get compare information specific something what vote health wear stuff eight throw kind lead.,Human,Toys,Negative,1,23,Simulated Human
115,Produce wish character reflect a development become game career be statement subject free build town seem main upon up mission usually television guess idea indeed radio if woman.,AI,Toys,Neutral,3,28,GPT-4
116,Newspaper picture effort at computer push kid live bit fine prove send occur nearly challenge their idea Mrs even.,Human,Home & Kitchen,Negative,2,19,Simulated Human
117,Rather six full social decide feel mouth how meeting take.,Human,Electronics,Negative,2,10,Simulated Human
118,True work explain ball language history pretty relate compare effect brother picture relate modern discuss accept population off technology whom physical discuss three employee.,AI,Home & Kitchen,Negative,2,24,GPT-4
119,Other st@ndard hear degree peace center summer performance you sea.,Human,Home & Kitchen,Positive,4,10,Simulated Human
120,Stock per boy account bed onto reality conference kitchen rate even Democrat small control include miss stock increase education skill employee pay once suddenly beat adult individual.,AI,Sports,Negative,1,27,GPT-4
121,Import@nt large camera need goal discuss.,Human,Books,Positive,4,6,Simulated Human
122,Half data keep old impact trouble experience head many push president involve agent town until central dog learn control past stay front camera fish draw.,AI,Electronics,Positive,4,25,GPT-4
123,Ahead late cover participant clearly arm maybe improve employee tonight team pick follow situation far.,AI,Clothing,Positive,4,15,GPT-4
124,Three young work share item particularly seem rise gas.,AI,Toys,Negative,2,9,GPT-4
125,Available social course help fill red until join young parent three seat the media he area poor stand enough course stop lay role area.,AI,Sports,Negative,1,24,GPT-4
126,Civil management claim PM car sort movement join democratic seven leader trouble let chance deal billion animal forward participant.,Human,Sports,Negative,1,19,Simulated Human
127,Feeling century plan yourself sound necessary shake night view kind movement put lose any just.,Human,Sports,Positive,4,15,Simulated Human
128,Rate degree use forget billion here race production near enjoy style measure why little else special analysis interesting position rich activity together mention international three fly in.,AI,Sports,Positive,4,27,GPT-4
129,Imagine Mrs magazine collection marriage black doctor standard long seat draw easy write deal I town.,Human,Home & Kitchen,Positive,4,16,Simulated Human
130,Effect form call best own too source company most suffer forward church catch affect service though exist garden wear.,AI,Electronics,Positive,5,19,GPT-4
131,People often listen each same create technology whether shoulder trouble involve performance school western few green style quite behavior note reach exactly system.,AI,Toys,Negative,1,23,GPT-4
132,Resource research price situation guess rich reality now evening guess.,Human,Clothing,Positive,5,10,Simulated Human
133,Respond current rise body project key would course goal remember fly name bit black season south effort major alone card stuff action history painting south.,Human,Sports,Positive,5,25,Simulated Human
134,Task send performance any during window box sister leg interview often prove likely simple medical project sit.,AI,Clothing,Positive,5,17,GPT-4
135,Tree everybody official purpose government little brother north people any weight executive policy when.,Human,Sports,Neutral,3,14,Simulated Human
136,More each manager little team own student product reach guy team but issue his may popular model best during possible heavy left kind.,AI,Toys,Neutral,3,23,GPT-4
137,Her behavior box second ok table television health book role while center standard relationship this technology radio become might national from.,AI,Clothing,Neutral,3,21,GPT-4
138,Fine we serve them travel person music none approach exist politics measure.,AI,Toys,Positive,5,12,GPT-4
139,Course without growth production discuss with right service Republican reason research become TV finish.,Human,Books,Positive,4,14,Simulated Human
140,Eye present involve feel small win lawyer nature image agree rate relationship.,AI,Books,Neutral,3,12,GPT-4
141,Eye indicate arm lose young professor similar truth financial huge dark respond opportunity size final important simple east.,Human,Clothing,Negative,2,18,Simulated Human
142,Opportunity player save money business where stage ball pick field ask indeed despite occur send.,AI,Toys,Negative,1,15,GPT-4
143,Sell south hour executive prove wind fact land my production fire next another drive only build test discussion produce executive teach deep against run few miss high little than.,Human,Clothing,Negative,1,29,Simulated Human
144,Between television week she material that expect whose care explain structure cup memory agency brother ever truth.,AI,Books,Positive,5,17,GPT-4
145,Mouth attorney trial two last and practice audience sometimes suddenly world those.,Human,Home & Kitchen,Neutral,3,12,Simulated Human
146,Anything month stock agreement yard provide there Mr notice factor least song water establish notice gas.,AI,Toys,Positive,5,16,GPT-4
147,Through grow evidence @greement least them analysis throughout scene kitchen course store administration account pattern explain show tend experience voice recently technology defense shoulder sport federal program establish quite.,Human,Electronics,Negative,1,29,Simulated Human
148,Analysis someone ball him understand only yourself character myself investment establish speak speech red drug owner yeah case other modern ready among structure network other total represent candidate year guess key sign card.,AI,Clothing,Neutral,3,33,GPT-4
149,Dream give science able positive when on station region difference final how cold baby rule company ask more believe sometimes small enjoy light.,Human,Clothing,Positive,4,23,Simulated Human
150,Raise science describe camera ago number despite turn fact capital as.,AI,Books,Negative,1,11,GPT-4
